country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IE,Ireland,,,,,2/15/20,-11,-6,-36,-12,-4,3
IE,Ireland,,,,,2/16/20,-6,-7,-29,-6,-1,2
IE,Ireland,,,,,2/17/20,8,1,12,0,-8,2
IE,Ireland,,,,,2/18/20,6,-2,12,0,-7,1
IE,Ireland,,,,,2/19/20,2,-3,-5,-2,-9,2
IE,Ireland,,,,,2/20/20,8,-1,12,-1,-12,2
IE,Ireland,,,,,2/21/20,1,-3,-1,-1,-13,3
IE,Ireland,,,,,2/22/20,-2,0,-4,-1,-1,0
IE,Ireland,,,,,2/23/20,-3,-2,1,1,0,0
IE,Ireland,,,,,2/24/20,1,3,3,1,1,0
IE,Ireland,,,,,2/25/20,-2,3,6,0,3,0
IE,Ireland,,,,,2/26/20,-1,0,9,1,2,0
IE,Ireland,,,,,2/27/20,4,3,15,4,2,0
IE,Ireland,,,,,2/28/20,3,5,0,4,1,0
IE,Ireland,,,,,2/29/20,-12,-3,-28,-9,-3,3
IE,Ireland,,,,,3/1/20,3,3,-5,2,2,0
IE,Ireland,,,,,3/2/20,4,4,12,1,1,0
IE,Ireland,,,,,3/3/20,8,5,29,2,3,-1
IE,Ireland,,,,,3/4/20,5,4,25,1,1,0
IE,Ireland,,,,,3/5/20,4,4,15,0,2,0
IE,Ireland,,,,,3/6/20,3,7,10,0,1,0
IE,Ireland,,,,,3/7/20,-3,3,-1,-4,0,1
IE,Ireland,,,,,3/8/20,0,2,0,-4,0,0
IE,Ireland,,,,,3/9/20,-3,3,-13,-6,0,2
IE,Ireland,,,,,3/10/20,3,11,15,-3,1,1
IE,Ireland,,,,,3/11/20,-3,11,-3,-9,-1,2
IE,Ireland,,,,,3/12/20,-3,33,-13,-14,-3,3
IE,Ireland,,,,,3/13/20,-19,10,1,-30,-26,12
IE,Ireland,,,,,3/14/20,-32,2,-15,-34,-12,9
IE,Ireland,,,,,3/15/20,-36,7,20,-35,-16,9
IE,Ireland,,,,,3/16/20,-26,15,21,-45,-49,18
IE,Ireland,,,,,3/17/20,-59,-24,67,-62,-80,29
IE,Ireland,,,,,3/18/20,-46,-9,14,-52,-46,20
IE,Ireland,,,,,3/19/20,-48,-10,29,-54,-48,22
IE,Ireland,,,,,3/20/20,-53,-9,16,-57,-48,23
IE,Ireland,,,,,3/21/20,-59,-3,-12,-59,-39,17
IE,Ireland,,,,,3/22/20,-59,-11,39,-53,-39,13
IE,Ireland,,,,,3/23/20,-49,-18,7,-61,-51,21
IE,Ireland,,,,,3/24/20,-51,-9,10,-62,-53,22
IE,Ireland,,,,,3/25/20,-60,-18,13,-63,-55,24
IE,Ireland,,,,,3/26/20,-60,-16,15,-65,-56,25
IE,Ireland,,,,,3/27/20,-63,-13,0,-66,-56,26
IE,Ireland,,,,,3/28/20,-80,-22,-59,-75,-53,21
IE,Ireland,,,,,3/29/20,-83,-37,-59,-78,-52,19
IE,Ireland,,,,,3/30/20,-73,-29,-37,-76,-68,29
IE,Ireland,,,,,3/31/20,-73,-25,-22,-74,-70,30
IE,Ireland,,,,,4/1/20,-75,-26,-31,-75,-70,31
IE,Ireland,,,,,4/2/20,-74,-23,-38,-76,-70,33
IE,Ireland,,,,,4/3/20,-74,-22,-35,-76,-69,34
IE,Ireland,,,,,4/4/20,-78,-23,-46,-74,-56,22
IE,Ireland,,,,,4/5/20,-81,-33,-59,-79,-52,20
IE,Ireland,,,,,4/6/20,-68,-24,-9,-74,-69,29
IE,Ireland,,,,,4/7/20,-66,-15,6,-71,-69,28
IE,Ireland,,,,,4/8/20,-69,-17,-10,-72,-69,29
IE,Ireland,,,,,4/9/20,-68,-12,-24,-73,-69,31
IE,Ireland,,,,,4/10/20,-73,-18,-26,-76,-74,34
IE,Ireland,,,,,4/11/20,-76,-12,-31,-70,-54,21
IE,Ireland,,,,,4/12/20,-90,-58,-69,-82,-56,21
IE,Ireland,,,,,4/13/20,-77,-38,-15,-80,-86,34
IE,Ireland,,,,,4/14/20,-68,-20,-1,-71,-68,28
IE,Ireland,,,,,4/15/20,-69,-22,-5,-71,-68,29
IE,Ireland,,,,,4/16/20,-84,-17,-7,-66,-67,31
IE,Ireland,,,,,4/17/20,-85,-19,-26,-68,-66,33
IE,Ireland,,,,,4/18/20,-87,-21,-46,-65,-51,22
IE,Ireland,,,,,4/19/20,-88,-31,-36,-66,-47,19
IE,Ireland,,,,,4/20/20,-83,-22,6,-65,-65,28
IE,Ireland,,,,,4/21/20,-83,-17,10,-63,-65,28
IE,Ireland,,,,,4/22/20,-83,-18,0,-63,-65,28
IE,Ireland,,,,,4/23/20,-82,-15,1,-64,-65,28
IE,Ireland,,,,,4/24/20,-83,-15,-8,-64,-65,31
IE,Ireland,,,,,4/25/20,-85,-16,-19,-58,-48,19
IE,Ireland,,,,,4/26/20,-87,-28,-43,-67,-45,18
IE,Ireland,,,,,4/27/20,-81,-19,13,-63,-64,27
IE,Ireland,,,,,4/28/20,-81,-16,9,-62,-64,24
IE,Ireland,,,,,4/29/20,-83,-20,-28,-67,-65,29
IE,Ireland,,,,,4/30/20,-73,-15,-27,-67,-65,28
IE,Ireland,,,,,5/1/20,-74,-16,-22,-66,-64,31
IE,Ireland,,,,,5/2/20,-77,-15,-14,-56,-45,19
IE,Ireland,,,,,5/3/20,-77,-21,-11,-59,-41,17
IE,Ireland,,,,,5/4/20,-74,-25,40,-69,-83,32
IE,Ireland,,,,,5/5/20,-68,-11,18,-60,-62,26
IE,Ireland,,,,,5/6/20,-69,-12,21,-59,-62,27
IE,Ireland,,,,,5/7/20,-70,-14,6,-63,-62,28
IE,Ireland,,,,,5/8/20,-70,-11,21,-61,-61,29
IE,Ireland,,,,,5/9/20,-74,-9,22,-52,-42,17
IE,Ireland,,,,,5/10/20,-77,-24,-40,-68,-39,17
IE,Ireland,,,,,5/11/20,-67,-14,22,-61,-61,25
IE,Ireland,,,,,5/12/20,-66,-11,29,-59,-60,25
IE,Ireland,,,,,5/13/20,-68,-13,-8,-58,-60,26
IE,Ireland,,,,,5/14/20,-68,-10,-53,-55,-60,25
IE,Ireland,,,,,5/15/20,-70,-12,-63,-59,-60,28
IE,Ireland,,,,,5/16/20,-74,-11,-64,-49,-40,17
IE,Ireland,,,,,5/17/20,-75,-17,-69,-54,-34,16
IE,Ireland,,,,,5/18/20,-60,-12,-54,-51,-56,23
IE,Ireland,,,,,5/19/20,-59,-6,-36,-43,-55,21
IE,Ireland,,,,,5/20/20,-59,-4,-17,-43,-55,22
IE,Ireland,,,,,5/21/20,-60,-6,-40,-50,-55,24
IE,Ireland,,,,,5/22/20,-64,-8,-60,-56,-54,27
IE,Ireland,,,,,5/23/20,-66,-5,-61,-47,-34,16
IE,Ireland,,,,,5/24/20,-66,-10,-31,-36,-26,12
IE,Ireland,,,,,5/25/20,-55,-7,-28,-45,-54,21
IE,Ireland,,,,,5/26/20,-55,-3,-15,-41,-52,20
IE,Ireland,,,,,5/27/20,-57,-2,-14,-40,-52,21
IE,Ireland,,,,,5/28/20,-56,3,-12,-41,-52,21
IE,Ireland,,,,,5/29/20,-58,3,-24,-42,-52,22
IE,Ireland,,,,,5/30/20,-63,4,-24,-30,-24,11
IE,Ireland,,,,,5/31/20,-64,-2,-22,-32,-18,10
IE,Ireland,,,,,6/1/20,-58,-6,30,-44,-78,25
IE,Ireland,,,,,6/2/20,-52,5,0,-36,-51,18
IE,Ireland,,,,,6/3/20,-56,-3,-41,-45,-51,21
IE,Ireland,,,,,6/4/20,-56,-2,-45,-47,-50,22
IE,Ireland,,,,,6/5/20,-56,-5,-41,-53,-49,23
IE,Ireland,,,,,6/6/20,-60,-5,-56,-51,-25,15
IE,Ireland,,,,,6/7/20,-60,-10,-30,-44,-17,11
IE,Ireland,,,,,6/8/20,-40,-3,8,-40,-48,17
IE,Ireland,,,,,6/9/20,-43,-2,-14,-44,-48,18
IE,Ireland,,,,,6/10/20,-47,-5,-29,-46,-49,19
IE,Ireland,,,,,6/11/20,-48,-3,-24,-50,-49,21
IE,Ireland,,,,,6/12/20,-50,-1,-24,-48,-48,21
IE,Ireland,,,,,6/13/20,-51,3,-6,-33,-18,10
IE,Ireland,,,,,6/14/20,-52,-5,5,-32,-13,8
IE,Ireland,,,,,6/15/20,-37,-1,48,-35,-46,16
IE,Ireland,,,,,6/16/20,-38,2,23,-36,-46,17
IE,Ireland,,,,,6/17/20,-41,1,-1,-37,-47,18
IE,Ireland,,,,,6/18/20,-41,-1,-9,-44,-47,19
IE,Ireland,,,,,6/19/20,-43,2,-11,-43,-46,18
IE,Ireland,,,,,6/20/20,-46,8,-6,-29,-17,9
IE,Ireland,,,,,6/21/20,-48,-1,1,-30,-8,8
IE,Ireland,,,,,6/22/20,-38,-5,-7,-44,-48,18
IE,Ireland,,,,,6/23/20,-37,0,2,-41,-47,17
IE,Ireland,,,,,6/24/20,-38,0,43,-34,-46,16
IE,Ireland,,,,,6/25/20,-38,4,54,-33,-46,16
IE,Ireland,,,,,6/26/20,-42,3,4,-39,-45,17
IE,Ireland,,,,,6/27/20,-47,3,-29,-34,-18,10
IE,Ireland,,,,,6/28/20,-48,-7,-30,-39,-12,9
IE,Ireland,,,,,6/29/20,-26,-1,3,-38,-44,14
IE,Ireland,,,,,6/30/20,-24,0,46,-36,-43,14
IE,Ireland,,,,,7/1/20,-28,-2,9,-38,-44,15
IE,Ireland,,,,,7/2/20,-26,1,45,-34,-44,14
IE,Ireland,,,,,7/3/20,-32,1,-1,-39,-44,15
IE,Ireland,County Carlow,,IE-CW,,2/15/20,-6,-9,-20,,-1,
IE,Ireland,County Carlow,,IE-CW,,2/16/20,-3,-4,-12,,2,
IE,Ireland,County Carlow,,IE-CW,,2/17/20,6,0,,,-9,2
IE,Ireland,County Carlow,,IE-CW,,2/18/20,5,-1,,,-9,2
IE,Ireland,County Carlow,,IE-CW,,2/19/20,5,-6,,,-11,2
IE,Ireland,County Carlow,,IE-CW,,2/20/20,9,-1,,,-14,2
IE,Ireland,County Carlow,,IE-CW,,2/21/20,1,0,-9,,-16,2
IE,Ireland,County Carlow,,IE-CW,,2/22/20,1,0,-2,,1,
IE,Ireland,County Carlow,,IE-CW,,2/23/20,-5,-2,0,,5,
IE,Ireland,County Carlow,,IE-CW,,2/24/20,0,4,,,1,0
IE,Ireland,County Carlow,,IE-CW,,2/25/20,-2,4,,,4,1
IE,Ireland,County Carlow,,IE-CW,,2/26/20,-2,-2,,,4,0
IE,Ireland,County Carlow,,IE-CW,,2/27/20,5,4,,,4,0
IE,Ireland,County Carlow,,IE-CW,,2/28/20,-2,6,-5,,2,-1
IE,Ireland,County Carlow,,IE-CW,,2/29/20,-7,-1,-11,,2,
IE,Ireland,County Carlow,,IE-CW,,3/1/20,-1,1,-10,,-2,
IE,Ireland,County Carlow,,IE-CW,,3/2/20,3,6,,,1,0
IE,Ireland,County Carlow,,IE-CW,,3/3/20,13,6,,,3,-1
IE,Ireland,County Carlow,,IE-CW,,3/4/20,8,3,,,3,0
IE,Ireland,County Carlow,,IE-CW,,3/5/20,7,4,,,5,-1
IE,Ireland,County Carlow,,IE-CW,,3/6/20,10,4,,,2,-1
IE,Ireland,County Carlow,,IE-CW,,3/7/20,0,3,-2,,1,
IE,Ireland,County Carlow,,IE-CW,,3/8/20,0,5,-2,,-3,
IE,Ireland,County Carlow,,IE-CW,,3/9/20,0,4,,,0,1
IE,Ireland,County Carlow,,IE-CW,,3/10/20,3,11,,,3,1
IE,Ireland,County Carlow,,IE-CW,,3/11/20,2,11,,,3,1
IE,Ireland,County Carlow,,IE-CW,,3/12/20,4,33,,,-1,1
IE,Ireland,County Carlow,,IE-CW,,3/13/20,-19,13,-9,,-23,9
IE,Ireland,County Carlow,,IE-CW,,3/14/20,-25,1,-11,,-4,
IE,Ireland,County Carlow,,IE-CW,,3/15/20,-34,8,12,,-15,
IE,Ireland,County Carlow,,IE-CW,,3/16/20,-19,16,,,-42,
IE,Ireland,County Carlow,,IE-CW,,3/17/20,-58,-31,,,-77,
IE,Ireland,County Carlow,,IE-CW,,3/18/20,-37,-12,,,-40,
IE,Ireland,County Carlow,,IE-CW,,3/19/20,-40,-16,,,-40,
IE,Ireland,County Carlow,,IE-CW,,3/20/20,-45,-12,,-64,-41,
IE,Ireland,County Carlow,,IE-CW,,3/21/20,-48,0,0,,-33,
IE,Ireland,County Carlow,,IE-CW,,3/22/20,-55,-6,,,-33,
IE,Ireland,County Carlow,,IE-CW,,3/23/20,-42,-18,,,-42,
IE,Ireland,County Carlow,,IE-CW,,3/24/20,-39,-10,,,-43,
IE,Ireland,County Carlow,,IE-CW,,3/25/20,-49,-17,,,-46,
IE,Ireland,County Carlow,,IE-CW,,3/26/20,-52,-18,,,-47,
IE,Ireland,County Carlow,,IE-CW,,3/27/20,-55,-12,,-64,-47,
IE,Ireland,County Carlow,,IE-CW,,3/28/20,-77,-21,-36,,-46,
IE,Ireland,County Carlow,,IE-CW,,3/29/20,-83,-35,-52,,-48,
IE,Ireland,County Carlow,,IE-CW,,3/30/20,-71,-28,,,-64,
IE,Ireland,County Carlow,,IE-CW,,3/31/20,-69,-20,,,-67,
IE,Ireland,County Carlow,,IE-CW,,4/1/20,-70,-26,,,-66,
IE,Ireland,County Carlow,,IE-CW,,4/2/20,-69,-21,,-70,-67,
IE,Ireland,County Carlow,,IE-CW,,4/3/20,-71,-21,-27,-70,-66,
IE,Ireland,County Carlow,,IE-CW,,4/4/20,-74,-22,-31,,-53,
IE,Ireland,County Carlow,,IE-CW,,4/5/20,-81,-26,-56,,-47,
IE,Ireland,County Carlow,,IE-CW,,4/6/20,-62,-21,,-72,-64,
IE,Ireland,County Carlow,,IE-CW,,4/7/20,-62,-14,,,-64,
IE,Ireland,County Carlow,,IE-CW,,4/8/20,-61,-16,,-79,-65,
IE,Ireland,County Carlow,,IE-CW,,4/9/20,-63,-8,,-73,-65,
IE,Ireland,County Carlow,,IE-CW,,4/10/20,-72,-20,-25,-73,-71,
IE,Ireland,County Carlow,,IE-CW,,4/11/20,-74,-11,-22,,-49,
IE,Ireland,County Carlow,,IE-CW,,4/12/20,-85,-55,-47,,-49,
IE,Ireland,County Carlow,,IE-CW,,4/13/20,-73,-39,,-76,-84,
IE,Ireland,County Carlow,,IE-CW,,4/14/20,-60,-19,,,-63,
IE,Ireland,County Carlow,,IE-CW,,4/15/20,-62,-25,,,-63,
IE,Ireland,County Carlow,,IE-CW,,4/16/20,-84,-18,,,-62,
IE,Ireland,County Carlow,,IE-CW,,4/17/20,-86,-22,-20,-67,-63,
IE,Ireland,County Carlow,,IE-CW,,4/18/20,-88,-22,-25,,-50,
IE,Ireland,County Carlow,,IE-CW,,4/19/20,-91,-29,-29,,-48,
IE,Ireland,County Carlow,,IE-CW,,4/20/20,-84,-24,,,-60,
IE,Ireland,County Carlow,,IE-CW,,4/21/20,-82,-18,,,-60,
IE,Ireland,County Carlow,,IE-CW,,4/22/20,-81,-20,,,-59,
IE,Ireland,County Carlow,,IE-CW,,4/23/20,-82,-17,,,-59,
IE,Ireland,County Carlow,,IE-CW,,4/24/20,-83,-19,,-61,-60,
IE,Ireland,County Carlow,,IE-CW,,4/25/20,-86,-19,,,-43,
IE,Ireland,County Carlow,,IE-CW,,4/26/20,-89,-25,-23,,-40,
IE,Ireland,County Carlow,,IE-CW,,4/27/20,-82,-20,,,-57,
IE,Ireland,County Carlow,,IE-CW,,4/28/20,-81,-17,,,-57,
IE,Ireland,County Carlow,,IE-CW,,4/29/20,-83,-20,,,-58,
IE,Ireland,County Carlow,,IE-CW,,4/30/20,-74,-13,,-79,-56,
