date,Rathmines,Blanchardstown,Winetavern Street,Dun Laoghaire
1/1/17 00:00,12.42,16.1,,
1/1/17 01:00,8.98,22.8,19.69875,11.2
1/1/17 02:00,9.55,18.8,18.16875,14.3
1/1/17 03:00,7.64,18.5,14.9175,13.3
1/1/17 04:00,5.92,13.8,13.19625,11.4
1/1/17 05:00,8.21,10.1,11.28375,7
1/1/17 06:00,8.21,14.1,8.415,8.8
1/1/17 07:00,9.55,15.2,10.13625,6.5
1/1/17 08:00,9.55,14.1,12.04875,7
1/1/17 09:00,8.21,17.6,12.43125,8.8
1/1/17 10:00,11.46,19.6,12.43125,5.9
1/1/17 11:00,17.95,20.6,13.005,9.5
1/1/17 12:00,19.86,20.6,12.04875,9.9
1/1/17 13:00,22.35,28.5,11.66625,9.1
1/1/17 14:00,21.58,30.1,14.535,7.8
1/1/17 15:00,24.64,37,14.34375,10.7
1/1/17 16:00,22.73,44.1,16.83,17.5
1/1/17 17:00,16.81,33.3,22.5675,19.4
1/1/17 18:00,19.1,32.6,20.46375,20.9
1/1/17 19:00,29.41,33,20.46375,11.6
1/1/17 20:00,37.44,25.2,18.93375,6.7
1/1/17 21:00,23.49,16.1,13.57875,6.5
1/1/17 22:00,18.91,13.9,11.28375,6.1
1/1/17 23:00,10.7,9.7,7.65,2.5
2/1/17 00:00,8.6,8.6,9.75375,1.7
2/1/17 01:00,5.92,4.9,4.59,1.3
2/1/17 02:00,4.01,6,3.06,1.5
2/1/17 03:00,7.83,8.6,5.16375,1
2/1/17 04:00,11.84,13.1,7.84125,1.1
2/1/17 05:00,46.41,25.3,10.13625,1.1
2/1/17 06:00,24.26,27.6,16.63875,2.9
2/1/17 07:00,21.01,29.6,24.67125,10.3
2/1/17 08:00,34.19,50.4,33.85125,30.7
2/1/17 09:00,41.26,51.3,48.96,29.9
2/1/17 10:00,46.03,31.4,54.88875,29.7
2/1/17 11:00,37.82,34.3,45.135,23.2
2/1/17 12:00,21.97,36.9,39.97125,26.5
2/1/17 13:00,22.54,48.8,35.19,24.2
2/1/17 14:00,21.01,28,29.4525,26.3
2/1/17 15:00,22.92,36,31.93875,34.4
2/1/17 16:00,27.5,53.6,45.5175,39.4
2/1/17 17:00,49.85,63.1,58.14,44.4
2/1/17 18:00,59.97,61,65.98125,52.7
2/1/17 19:00,64.94,62.4,66.555,41.9
2/1/17 20:00,54.82,53,59.67,24.8
2/1/17 21:00,46.41,48.1,53.55,24.4
2/1/17 22:00,48.32,34.7,51.82875,21.9
2/1/17 23:00,34.95,28.6,45.32625,17.5
3/1/17 00:00,25.21,22.2,35.5725,12.6
3/1/17 01:00,13.56,15.6,24.28875,9
3/1/17 02:00,9.74,12.7,21.8025,5.7
3/1/17 03:00,8.79,11.5,14.535,4.6
3/1/17 04:00,9.93,9.6,30.02625,4.6
3/1/17 05:00,9.17,11.4,16.25625,5
3/1/17 06:00,9.93,16.2,21.42,5
3/1/17 07:00,17.76,27.4,34.0425,10.3
3/1/17 08:00,32.85,32.8,50.68125,17.5
3/1/17 09:00,47.56,35.5,53.9325,28
3/1/17 10:00,34.76,35.3,54.12375,32.7
3/1/17 11:00,33.04,35.8,51.82875,25.3
3/1/17 12:00,28.27,26.1,50.29875,23.4
3/1/17 13:00,28.46,32,44.56125,23.6
3/1/17 14:00,23.49,24.5,35.38125,20.2
3/1/17 15:00,25.98,29.3,33.08625,20.7
3/1/17 16:00,22.16,40.5,39.97125,20.2
3/1/17 17:00,22.54,34.1,51.255,21.3
3/1/17 18:00,24.26,32.1,46.09125,24.2
3/1/17 19:00,23.88,27.8,43.2225,21.3
3/1/17 20:00,21.58,25.1,40.73625,18.7
3/1/17 21:00,18.34,17.2,30.40875,16.9
3/1/17 22:00,15.47,14.6,23.3325,13
3/1/17 23:00,12.22,12.4,27.1575,11.4
4/1/17 00:00,9.93,9.2,21.0375,9.9
4/1/17 01:00,7.45,4.8,11.475,5.1
4/1/17 02:00,4.78,6.3,8.60625,2.9
4/1/17 03:00,4.39,4.6,8.60625,2.7
4/1/17 04:00,3.44,6.4,8.22375,1.9
4/1/17 05:00,4.58,8.8,9.5625,2.3
4/1/17 06:00,7.45,14.2,14.34375,3.4
4/1/17 07:00,14.71,22.5,31.17375,7.2
4/1/17 08:00,25.59,25.3,56.80125,19.6
4/1/17 09:00,34.95,31.2,62.53875,25.7
4/1/17 10:00,27.7,19.6,53.9325,22.7
4/1/17 11:00,26.74,24.2,47.43,28.4
4/1/17 12:00,30.56,32.6,#VALUE!,30.3
4/1/17 13:00,34.76,32.4,50.29875,29.7
4/1/17 14:00,37.25,46.5,47.43,34.1
4/1/17 15:00,42.21,61.3,58.71375,47.2
4/1/17 16:00,55.01,85.4,59.47875,50.4
4/1/17 17:00,54.24,107.5,68.4675,64.3
4/1/17 18:00,64.94,113.2,75.54375,75.9
4/1/17 19:00,69.52,107.5,75.16125,75.3
4/1/17 20:00,81.94,102.9,76.1175,90.8
4/1/17 21:00,89.2,96.1,101.17125,92.2
4/1/17 22:00,87.29,87.5,104.23125,86.6
4/1/17 23:00,71.05,75.1,100.98,80.1
