date,Rathmines,Swords,Clonskeagh,,,,,
1/1/17 00:00,56.8,67.8,67.65,,,,,
1/1/17 01:00,62.2,61.6,72.9516,,,,,
1/1/17 02:00,56.2,61.6,66.2086,,,,,
1/1/17 03:00,57.6,62.2,63.4758,,,,,
1/1/17 04:00,58.6,60.8,66.3194,,,,,
1/1/17 05:00,56.2,63.8,66.1918,,,,,
1/1/17 06:00,56.2,60.6,64.8268,,,,,
1/1/17 07:00,52.8,58.6,61.7032,,,,,
1/1/17 08:00,52.6,58.2,60.9184,,,,,
1/1/17 09:00,55.8,58.8,61.6472,,,,,
1/1/17 10:00,51.2,63,59.003,,,,,
1/1/17 11:00,46.8,64,56.0244,,,,,
1/1/17 12:00,46.8,65,57.1484,,,,,
1/1/17 13:00,43,67,58.9062,,,,,
1/1/17 14:00,46.2,63.8,56.2126,,,,,
1/1/17 15:00,39.4,62.8,50.9632,,,,,
1/1/17 16:00,41,58.2,50.9296,,,,,
1/1/17 17:00,43.8,54,48.0078,,,,,
1/1/17 18:00,39.8,56.8,45.5038,,,,,
1/1/17 19:00,27,56.6,41.96,,,,,
1/1/17 20:00,26.4,62.4,44.4938,,,,,
1/1/17 21:00,41.2,64.8,55.444,,,,,
1/1/17 22:00,47.8,63.2,48.2988,,,,,
1/1/17 23:00,58.4,65,64.044,,,,,
2/1/17 00:00,60,66,68.5282,,,,,
2/1/17 01:00,61.4,64.6,68.4302,,,,,
2/1/17 02:00,62,63.2,62.6232,,,,,
2/1/17 03:00,54.2,61.4,61.6222,,,,,
2/1/17 04:00,47.8,53.6,57.7574,,,,,
2/1/17 05:00,11.4,54.4,51.7134,,,,,
2/1/17 06:00,26.6,51.8,46.7024,,,,,
2/1/17 07:00,27,45.4,32.538,,,,,
2/1/17 08:00,15,42,23.6112,,,,,
2/1/17 09:00,8.6,38,17.48498,,,,,
2/1/17 10:00,7,39,16.65856,,,,,
2/1/17 11:00,16.2,41.8,22.3328,,,,,
2/1/17 12:00,29,44,31.0076,,,,,
2/1/17 13:00,29.6,44.8,34.6206,,,,,
2/1/17 14:00,31.4,51.2,37.749,,,,,
2/1/17 15:00,30,50.6,35.8968,,,,,
2/1/17 16:00,26.6,43.4,39.2248,,,,,
2/1/17 17:00,6.8,36.4,16.45436,,,,,
2/1/17 18:00,2.8,28,6.2282,,,,,
2/1/17 19:00,0.2,25.8,6.9414,,,,,
2/1/17 20:00,4.6,28.8,18.9848,,,,,
2/1/17 21:00,8.6,28.4,20.3044,,,,,
2/1/17 22:00,9.4,23.8,17.96456,,,,,
2/1/17 23:00,19,30,24.9138,,,,,
3/1/17 00:00,28.2,29.8,32.7708,,,,,
3/1/17 01:00,39.4,31.4,35.4096,,,,,
3/1/17 02:00,42.2,28.2,45.5348,,,,,
3/1/17 03:00,43,28,47.2788,,,,,
3/1/17 04:00,38,27.6,43.7548,,,,,
3/1/17 05:00,41.8,29,44.7694,,,,,
3/1/17 06:00,42.6,32.2,49.7636,,,,,
3/1/17 07:00,42.6,28.2,50.9958,,,,,
3/1/17 08:00,26.8,26.4,38.1414,,,,,
3/1/17 09:00,16.8,28.2,35.7716,,,,,
3/1/17 10:00,30.2,29,39.7022,,,,,
3/1/17 11:00,36,37,47.1286,,,,,
3/1/17 12:00,40.8,34.8,52.3392,,,,,
3/1/17 13:00,42.2,41.8,52.2184,,,,,
3/1/17 14:00,48.4,48,55.7276,,,,,
3/1/17 15:00,46.8,49,53.4246,,,,,
3/1/17 16:00,49.8,51.6,57.1814,,,,,
3/1/17 17:00,49,49.6,52.8684,,,,,
3/1/17 18:00,45.2,48.8,48.8078,,,,,
3/1/17 19:00,45.8,48.8,48.6456,,,,,
3/1/17 20:00,45,48.6,51.233,,,,,
3/1/17 21:00,46.8,47.2,54.067,,,,,
3/1/17 22:00,47.2,49.8,53.2368,,,,,
3/1/17 23:00,49.8,50.4,53.9408,,,,,
4/1/17 00:00,47.8,48.8,55.8662,,,,,
4/1/17 01:00,47.8,52.4,54.2488,,,,,
4/1/17 02:00,51.8,56.4,57.1194,,,,,
4/1/17 03:00,51.2,57,57.7002,,,,,
4/1/17 04:00,53.4,56.2,57.4118,,,,,
4/1/17 05:00,52.8,52.6,58.523,,,,,
4/1/17 06:00,49.6,47.4,55.5738,,,,,
4/1/17 07:00,40.4,47.4,48.4368,,,,,
4/1/17 08:00,30.4,44,38.5474,,,,,
4/1/17 09:00,24.2,38.4,26.369,,,,,
4/1/17 10:00,31.4,47.2,34.3936,,,,,
4/1/17 11:00,30.4,48,36.8324,,,,,
4/1/17 12:00,25.2,44.2,32.7864,,,,,
4/1/17 13:00,21.6,42.8,25.725,,,,,
4/1/17 14:00,16,37.4,24.3316,,,,,
4/1/17 15:00,9.8,33.4,18.902,,,,,
4/1/17 16:00,3,26.8,13.05632,,,,,
4/1/17 17:00,0,22.6,2.81448,,,,,
4/1/17 18:00,0,16.4,2.36674,,,,,
4/1/17 19:00,0,15.2,2.80038,,,,,
4/1/17 20:00,0,19.8,6.66258,,,,,
4/1/17 21:00,2.8,23,6.33674,,,,,
4/1/17 22:00,2.4,22.4,5.71834,,,,,
4/1/17 23:00,0,23.8,5.13218,,,,,
5/1/17 00:00,0,27.2,3.91086,,,,,
5/1/17 01:00,0,22.6,4.83794,,,,,
5/1/17 02:00,0,19,3.04568,,,,,
5/1/17 03:00,0,51.2,2.25504,,,,,
5/1/17 04:00,0,57.8,3.7197,,,,,
5/1/17 05:00,0,57.8,2.38736,,,,,
5/1/17 06:00,10.4,48,40.7814,,,,,
5/1/17 07:00,5.6,45.8,50.131,,,,,
5/1/17 08:00,0,22.4,49.6986,,,,,
5/1/17 09:00,0,14.4,28.6734,,,,,
5/1/17 10:00,0,18.2,11.85944,,,,,
5/1/17 11:00,0,14,11.47852,,,,,
5/1/17 12:00,0,5.6,5.58974,,,,,
5/1/17 13:00,0.4,8.4,33.362,,,,,
5/1/17 14:00,19.2,21,35.1172,,,,,
5/1/17 15:00,20.2,30,42.9362,,,,,
5/1/17 16:00,6.4,32.4,42.743,,,,,
5/1/17 17:00,7.8,23.2,36.3944,,,,,
5/1/17 18:00,0,23.2,19.29362,,,,,
5/1/17 19:00,0,21.2,5.49972,,,,,
5/1/17 20:00,0,16.6,3.0598,,,,,
5/1/17 21:00,0,5.8,3.50628,,,,,
5/1/17 22:00,0,4,4.47408,,,,,
5/1/17 23:00,0,4,5.04808,,,,,
6/1/17 00:00,0,3.8,3.96904,,,,,
6/1/17 01:00,6.8,3.2,28.4402,,,,,
6/1/17 02:00,17.2,16.2,67.4344,,,,,
6/1/17 03:00,43.8,21,61.5838,,,,,
6/1/17 04:00,61.4,45.8,71.5312,,,,,
6/1/17 05:00,61,61.2,68.5076,,,,,
6/1/17 06:00,63.6,55.2,68.6892,,,,,
6/1/17 07:00,57.8,49.4,63.1688,,,,,
6/1/17 08:00,56.4,38.8,66.1874,,,,,
6/1/17 09:00,53.4,34.6,63.639,,,,,
6/1/17 10:00,52.2,26.2,62.5362,,,,,
6/1/17 11:00,50.8,29.8,57.6834,,,,,
6/1/17 12:00,48.4,42.8,56.3584,,,,,
6/1/17 13:00,46,44,49.8182,,,,,
6/1/17 14:00,40,41.8,52.5574,,,,,
6/1/17 15:00,35.4,37.6,45.4446,,,,,
6/1/17 16:00,31.6,30.4,34.9156,,,,,
6/1/17 17:00,17.8,25.4,26.2802,,,,,
6/1/17 18:00,25,20.6,24.4498,,,,,
6/1/17 19:00,27.2,22.6,28.7292,,,,,
6/1/17 20:00,29,24.6,38.8972,,,,,
6/1/17 21:00,26,21.6,38.3304,,,,,
6/1/17 22:00,40.4,38.6,45.845,,,,,
6/1/17 23:00,43,41.2,54.0362,,,,,
7/1/17 00:00,35,42.2,51.33,,,,,
7/1/17 01:00,51,44.4,57.1032,,,,,
7/1/17 02:00,55,40.2,60.6666,,,,,
7/1/17 03:00,53.8,35.4,64.1748,,,,,
7/1/17 04:00,52.4,38.2,61.479,,,,,
7/1/17 05:00,46.2,35,53.5142,,,,,
7/1/17 06:00,45,34.6,56.9088,,,,,
7/1/17 07:00,43,33,50.5968,,,,,
7/1/17 08:00,25.4,34.8,29.7554,,,,,
7/1/17 09:00,22.8,29.8,29.8438,,,,,
7/1/17 10:00,26.2,20.6,33.839,,,,,
7/1/17 11:00,24.2,19.2,36.7842,,,,,
