Time,Ballyfermot,Blanchardstown,Davitt Road,St John's Road,Swords
1/5/19 00:00,19.69875,55.4625,53.1675,51.44625,31.365
1/5/19 01:00,17.40375,18.7425,25.05375,28.6875,16.63875
1/5/19 02:00,5.16375,9.37125,16.065,10.90125,3.4425
1/5/19 03:00,2.86875,4.01625,18.55125,23.90625,0.19125
1/5/19 04:00,3.63375,3.63375,13.19625,22.75875,0.3825
1/5/19 05:00,4.2075,4.59,24.67125,43.03125,4.39875
1/5/19 06:00,4.01625,8.0325,40.73625,63.68625,8.98875
1/5/19 07:00,5.7375,13.19625,45.32625,70.38,14.72625
1/5/19 08:00,6.31125,15.49125,37.485,66.74625,12.81375
1/5/19 09:00,5.92875,8.60625,28.305,58.14,10.13625
1/5/19 10:00,4.01625,7.07625,28.87875,42.075,3.25125
1/5/19 11:00,1.33875,10.51875,21.99375,57.7575,3.63375
1/5/19 12:00,1.33875,9.75375,20.46375,47.23875,3.06
1/5/19 13:00,1.1475,10.71,24.8625,54.12375,4.01625
1/5/19 14:00,0.95625,9.5625,22.37625,45.135,4.9725
1/5/19 15:00,0.95625,7.84125,19.5075,55.65375,3.06
1/5/19 16:00,1.1475,16.25625,18.93375,66.36375,4.78125
1/5/19 17:00,1.72125,8.0325,20.08125,67.7025,4.9725
1/5/19 18:00,1.72125,8.0325,22.185,67.12875,5.7375
1/5/19 19:00,1.72125,11.475,16.25625,52.59375,2.10375
1/5/19 20:00,3.4425,17.02125,18.93375,46.09125,4.39875
1/5/19 21:00,4.2075,35.5725,18.36,42.075,5.7375
1/5/19 22:00,5.16375,16.25625,16.065,41.6925,2.6775
1/5/19 23:00,5.54625,10.51875,10.13625,41.50125,0.765
2/5/19 00:00,2.86875,5.16375,8.7975,25.81875,-0.57375
2/5/19 01:00,1.72125,2.295,4.01625,11.28375,-1.72125
2/5/19 02:00,0.95625,2.10375,2.48625,9.945,-2.10375
2/5/19 03:00,0.95625,4.01625,4.2075,10.51875,-2.10375
2/5/19 04:00,1.72125,1.72125,5.7375,10.71,-2.10375
2/5/19 05:00,2.48625,2.10375,17.40375,27.73125,1.72125
2/5/19 06:00,2.48625,4.59,31.7475,43.605,4.01625
2/5/19 07:00,2.6775,11.28375,34.23375,54.88875,7.84125
2/5/19 08:00,3.06,11.66625,30.9825,44.17875,9.37125
2/5/19 09:00,2.6775,10.3275,30.2175,47.43,6.69375
2/5/19 10:00,2.10375,14.535,25.245,39.97125,1.9125
2/5/19 11:00,1.53,10.90125,23.3325,43.605,3.25125
2/5/19 12:00,1.72125,8.22375,22.185,43.03125,2.295
2/5/19 13:00,1.72125,8.22375,28.305,68.4675,2.86875
2/5/19 14:00,1.53,7.84125,24.67125,67.51125,5.16375
2/5/19 15:00,1.9125,10.90125,22.5675,60.435,6.5025
2/5/19 16:00,1.9125,40.545,22.95,79.1775,7.2675
2/5/19 17:00,4.01625,27.1575,19.69875,74.39625,8.98875
2/5/19 18:00,2.48625,56.61,26.775,77.45625,5.355
2/5/19 19:00,4.39875,60.8175,32.32125,45.135,6.12
2/5/19 20:00,6.885,74.205,38.25,40.9275,11.8575
2/5/19 21:00,9.945,87.01875,56.80125,68.85,22.37625
2/5/19 22:00,13.3875,89.1225,60.435,74.5875,22.5675
2/5/19 23:00,13.96125,65.21625,40.545,74.01375,12.43125
3/5/19 00:00,8.98875,47.8125,25.05375,59.47875,5.355
3/5/19 01:00,5.16375,39.3975,19.5075,49.3425,7.65
3/5/19 02:00,5.355,14.535,22.75875,43.41375,7.2675
3/5/19 03:00,5.7375,6.31125,22.185,51.06375,3.825
3/5/19 04:00,5.16375,6.69375,15.87375,34.425,1.72125
3/5/19 05:00,3.4425,7.07625,32.895,45.70875,8.0325
3/5/19 06:00,3.825,9.75375,34.61625,72.10125,3.825
3/5/19 07:00,3.825,43.605,44.56125,68.085,12.24
3/5/19 08:00,7.2675,42.4575,29.64375,60.8175,10.71
3/5/19 09:00,4.59,45.135,28.49625,78.60375,6.885
3/5/19 10:00,3.25125,43.9875,22.75875,47.43,-0.19125
3/5/19 11:00,1.72125,40.1625,18.16875,53.55,1.53
3/5/19 12:00,1.53,35.76375,20.84625,44.94375,1.53
3/5/19 13:00,1.53,51.6375,19.89,49.53375,5.92875
3/5/19 14:00,2.295,50.29875,23.90625,55.08,4.2075
3/5/19 15:00,2.48625,57.7575,25.245,82.04625,3.06
3/5/19 16:00,3.25125,78.03,28.49625,72.86625,4.2075
3/5/19 17:00,3.4425,59.86125,26.3925,78.795,3.4425
3/5/19 18:00,2.6775,60.8175,23.715,72.675,1.72125
3/5/19 19:00,2.86875,63.1125,21.99375,51.6375,0.57375
3/5/19 20:00,2.86875,53.9325,26.01,66.9375,-0.3825
3/5/19 21:00,2.86875,35.38125,22.37625,50.49,-0.3825
3/5/19 22:00,2.86875,29.07,13.3875,31.93875,2.6775
3/5/19 23:00,1.9125,18.36,10.3275,35.38125,3.63375
4/5/19 00:00,1.33875,13.005,8.60625,31.365,0.19125
4/5/19 01:00,1.1475,10.3275,4.78125,13.77,-0.765
4/5/19 02:00,0.57375,7.2675,4.2075,23.52375,-0.57375
4/5/19 03:00,0.3825,5.54625,4.59,15.10875,-1.1475
4/5/19 04:00,0.3825,6.69375,5.355,12.6225,1.72125
4/5/19 05:00,0.3825,12.43125,11.28375,14.34375,4.39875
4/5/19 06:00,1.1475,16.4475,22.95,19.125,0
4/5/19 07:00,1.9125,23.90625,19.69875,21.61125,-0.19125
4/5/19 08:00,2.6775,23.3325,17.595,17.9775,-0.57375
4/5/19 09:00,2.86875,19.69875,15.87375,12.81375,-0.19125
4/5/19 10:00,1.53,20.46375,14.535,16.065,-0.765
4/5/19 11:00,0.765,25.43625,11.475,27.73125,-1.33875
4/5/19 12:00,0.57375,23.3325,12.6225,26.20125,-2.48625
4/5/19 13:00,0.57375,26.20125,12.24,23.52375,-1.9125
4/5/19 14:00,0.57375,26.58375,11.66625,16.4475,-1.72125
4/5/19 15:00,0.765,26.20125,10.51875,10.90125,-1.33875
4/5/19 16:00,0.95625,26.01,10.13625,17.78625,-1.33875
4/5/19 17:00,0.765,37.1025,11.8575,22.75875,0.19125
4/5/19 18:00,1.1475,47.23875,16.63875,21.42,3.825
4/5/19 19:00,1.9125,58.905,31.17375,18.55125,2.295
4/5/19 20:00,2.295,69.615,26.96625,20.46375,6.5025
4/5/19 21:00,3.825,70.38,21.0375,34.0425,17.9775
4/5/19 22:00,4.2075,74.01375,40.73625,53.9325,29.07
4/5/19 23:00,7.84125,68.27625,56.41875,47.0475,10.71
5/5/19 00:00,12.81375,34.61625,46.09125,50.8725,6.31125
5/5/19 01:00,9.37125,25.05375,25.81875,40.73625,5.7375
