Time,Davitt Road,Phoenix Park,St Annes,St John's Road,Ballyfermot
1/5/19 00:00,18.5,12.2,11.1,11.9,16.5
1/5/19 01:00,8.5,7.4,12,8.4,19.3
1/5/19 02:00,2.8,2.5,6.5,2.6,7.2
1/5/19 03:00,2.5,2,2.6,2.5,2.8
1/5/19 04:00,2.8,2.2,2,2.5,3.3
1/5/19 05:00,4,3,2.3,3.1,2.6
1/5/19 06:00,5.7,3.4,3.1,3.9,3.9
1/5/19 07:00,7.5,3.1,3,4.7,3.6
1/5/19 08:00,5.8,3.2,2.8,4.7,3.3
1/5/19 09:00,5.7,3.1,3,4.3,3.9
1/5/19 10:00,5.4,3,2.8,3.9,3.5
1/5/19 11:00,5.1,4.1,3.2,4.5,4
1/5/19 12:00,4.1,3.4,3.4,3.7,3.9
1/5/19 13:00,3.9,3.2,2.5,3.7,3
1/5/19 14:00,3.3,2.4,2.2,3.4,3.1
1/5/19 15:00,2.7,1.8,1.8,3,2.5
1/5/19 16:00,2.8,1.4,2.1,2.6,2
1/5/19 17:00,3.4,1.9,2.8,3.5,1.8
1/5/19 18:00,2.8,1.3,1.9,3.1,2.3
1/5/19 19:00,3,1.9,1.9,3.2,1.9
1/5/19 20:00,4.6,3.1,2.9,4.3,3.1
1/5/19 21:00,5.1,3.2,4.1,4.4,4.8
1/5/19 22:00,5,3.1,3.2,3.7,4.4
1/5/19 23:00,4.7,3.8,3.3,5.7,9.3
2/5/19 00:00,3.7,4.4,3.6,4.6,7.2
2/5/19 01:00,3.2,3.3,3.5,3.5,5.1
2/5/19 02:00,3.3,3.5,3.3,6.6,4
2/5/19 03:00,3.8,4,3.7,4,3.8
2/5/19 04:00,4.7,3.9,3.7,4.3,4
2/5/19 05:00,3.6,3.2,3.4,3.6,5
2/5/19 06:00,3.7,2.3,2.6,3.6,3.6
2/5/19 07:00,3.5,2.2,2.2,3.4,3.5
2/5/19 08:00,7,2.2,2.3,3.5,2.8
2/5/19 09:00,6.8,2.6,2.4,3.7,2.9
2/5/19 10:00,5.7,2.8,2.4,3.7,3.6
2/5/19 11:00,5.1,3.2,2.6,4.1,3.4
2/5/19 12:00,4.1,2.6,2.7,3.5,4
2/5/19 13:00,5.1,3.3,2.5,4.5,3.2
2/5/19 14:00,5.1,3.1,3.2,5,3.9
2/5/19 15:00,4.1,2.7,2.6,4.1,4
2/5/19 16:00,3,2.2,2.4,3.6,3.8
2/5/19 17:00,4.4,2.3,1.5,3.4,3.2
2/5/19 18:00,4.2,2.4,2.2,3.2,3.2
2/5/19 19:00,3.8,3.3,2.2,4,3.3
2/5/19 20:00,5,4,3.4,6,4
2/5/19 21:00,9.3,3.8,2.7,11.3,6.1
2/5/19 22:00,9.8,3.4,5.1,5.7,7.5
2/5/19 23:00,5.7,4.4,5.3,5.4,7.9
3/5/19 00:00,5.1,4.4,4.4,4.5,6.2
3/5/19 01:00,5.4,4.2,4.1,4.7,5.5
3/5/19 02:00,5.8,4.7,4.6,5.4,5.5
3/5/19 03:00,5.7,5.1,5,5.4,5.6
3/5/19 04:00,5.3,5,4.2,4.9,5.6
3/5/19 05:00,5.2,5,4,4.8,5.1
3/5/19 06:00,8,4.8,3.5,5.9,4.7
3/5/19 07:00,7.8,5,4.5,5.8,5.1
3/5/19 08:00,7.5,5.1,5.2,5.9,6.6
3/5/19 09:00,8,5.3,4.8,5.9,5.7
3/5/19 10:00,8.2,5.5,5.2,5.9,5.6
3/5/19 11:00,8,4.8,4.6,5.4,6.7
3/5/19 12:00,6.6,4.8,4.4,5.3,5.4
3/5/19 13:00,6.6,5.2,4.4,5.4,5.7
3/5/19 14:00,6.5,5.4,5.3,6,5.4
3/5/19 15:00,7.4,5.7,4.5,7,5.8
3/5/19 16:00,5.8,5,3.6,5.7,6.4
3/5/19 17:00,6.4,4.9,4,5.8,5.6
3/5/19 18:00,7.4,5,4.3,6.6,5.7
3/5/19 19:00,5.6,4.4,4.2,5,6.3
3/5/19 20:00,6.3,4.3,4,5.4,4.8
3/5/19 21:00,6.9,5,5.2,6.1,5.5
3/5/19 22:00,6.7,6,5.6,6.7,6
3/5/19 23:00,6,5.5,5.7,5.7,7.1
4/5/19 00:00,6.1,5.6,5.5,5.5,6.3
4/5/19 01:00,5.3,5.2,5.1,5.6,6.3
4/5/19 02:00,4.9,4.7,4.8,5,6.2
4/5/19 03:00,4.5,4,4.5,4.3,5.5
4/5/19 04:00,4.2,4,4.2,4.1,4.7
4/5/19 05:00,4.2,3.6,3.5,3.9,4.6
4/5/19 06:00,3.9,2.8,3.1,3.4,4.1
4/5/19 07:00,3.6,2.7,2.4,3.3,3.1
4/5/19 08:00,4,3.4,3.9,3.7,3.1
4/5/19 09:00,6.4,4.8,5.4,6,4
4/5/19 10:00,5.6,4.7,4.9,5.5,5.6
4/5/19 11:00,4.3,3.8,3.9,5.1,5.4
4/5/19 12:00,3.2,2.8,3,3.8,4.4
4/5/19 13:00,2.8,2.5,3.4,3.3,3.2
